fold,direction,target_prec,k,tau,units,units_excluded_lt_k,n_alerts,n_hits,precision,alerts_per_unit,recall_of_movers
0,down,0.2,5,-1.972281813621521,81,2,344,30,0.0872093023255814,4.246913580246914,0.24390243902439024
0,down,0.2,10,-1.972281813621521,77,6,607,53,0.08731466227347612,7.883116883116883,0.43089430894308944
0,down,0.2,15,-1.972281813621521,76,7,775,64,0.08258064516129032,10.197368421052632,0.5203252032520326
0,down,0.2,20,-1.972281813621521,74,9,902,68,0.07538802660753881,12.18918918918919,0.5528455284552846
0,down,0.3,5,0.6882082223892212,81,2,281,28,0.099644128113879,3.4691358024691357,0.22764227642276422
0,down,0.3,10,0.6882082223892212,77,6,459,42,0.0915032679738562,5.961038961038961,0.34146341463414637
0,down,0.3,15,0.6882082223892212,76,7,575,47,0.0817391304347826,7.565789473684211,0.3821138211382114
0,down,0.3,20,0.6882082223892212,74,9,646,49,0.07585139318885449,8.72972972972973,0.3983739837398374
0,down,0.4,5,2.043525218963623,81,2,234,21,0.08974358974358974,2.888888888888889,0.17073170731707318
0,down,0.4,10,2.043525218963623,77,6,365,31,0.08493150684931507,4.740259740259741,0.25203252032520324
0,down,0.4,15,2.043525218963623,76,7,443,35,0.07900677200902935,5.828947368421052,0.2845528455284553
0,down,0.4,20,2.043525218963623,74,9,475,37,0.07789473684210527,6.418918918918919,0.3008130081300813
0,up,0.2,5,-1.2235939502716064,81,2,290,46,0.15862068965517243,3.580246913580247,0.3129251700680272
0,up,0.2,10,-1.2235939502716064,77,6,495,74,0.1494949494949495,6.428571428571429,0.5034013605442177
0,up,0.2,15,-1.2235939502716064,76,7,668,85,0.12724550898203593,8.789473684210526,0.5782312925170068
0,up,0.2,20,-1.2235939502716064,74,9,801,95,0.11860174781523096,10.824324324324325,0.6462585034013606
0,up,0.3,5,0.015948504209518433,81,2,232,38,0.16379310344827586,2.8641975308641974,0.2585034013605442
0,up,0.3,10,0.015948504209518433,77,6,398,61,0.15326633165829145,5.1688311688311686,0.41496598639455784
0,up,0.3,15,0.015948504209518433,76,7,518,69,0.13320463320463322,6.815789473684211,0.46938775510204084
0,up,0.3,20,0.015948504209518433,74,9,592,76,0.12837837837837837,8.0,0.5170068027210885
0,up,0.4,5,0.8158119916915894,81,2,196,31,0.15816326530612246,2.419753086419753,0.2108843537414966
0,up,0.4,10,0.8158119916915894,77,6,310,48,0.15483870967741936,4.025974025974026,0.32653061224489793
0,up,0.4,15,0.8158119916915894,76,7,376,53,0.14095744680851063,4.947368421052632,0.36054421768707484
0,up,0.4,20,0.8158119916915894,74,9,410,58,0.14146341463414633,5.54054054054054,0.3945578231292517
1,down,0.2,5,-2.7616467475891113,78,0,313,34,0.10862619808306709,4.012820512820513,0.20238095238095238
1,down,0.2,10,-2.7616467475891113,78,0,551,49,0.08892921960072596,7.064102564102564,0.2916666666666667
1,down,0.2,15,-2.7616467475891113,76,2,681,55,0.08076358296622614,8.960526315789474,0.3273809523809524
1,down,0.2,20,-2.7616467475891113,75,3,752,60,0.0797872340425532,10.026666666666667,0.35714285714285715
1,down,0.3,5,-0.11541706323623657,78,0,260,33,0.12692307692307692,3.3333333333333335,0.19642857142857142
