fold,direction,target_prec,tau,train_auroc,heldout_auroc,train_precision_at_tau,train_n_alerts,train_n_pos,train_n,heldout_precision_at_tau,heldout_n_alerts,heldout_n_pos,heldout_n
0,down,0.3,0.6882082223892212,0.9859842418941608,0.7308597171565147,0.30004967709885744,2013,606,16341,0.07488986784140969,681,123,4142
0,up,0.3,0.015948504209518433,0.9778784716500979,0.8308753288549463,0.3000416146483562,2403,735,16341,0.1296,625,147,4142
1,down,0.3,-0.11541706323623657,0.9892229600883866,0.6474931199268774,0.3,1870,561,15522,0.1084070796460177,452,168,4961
1,up,0.3,-0.6655995845794678,0.978541228406512,0.7946515165436484,0.3000447828034035,2233,676,15522,0.12147716229348883,1029,206,4961
2,down,0.3,2.3651769161224365,0.9838203954312297,0.7420730751136898,0.3000545553737043,1833,554,16664,0.17679558011049723,362,175,3819
2,up,0.3,-0.16767385601997375,0.9783364073512943,0.8444539289609713,0.3000882612533098,2266,684,16664,0.20384615384615384,520,198,3819
3,down,0.3,1.21836256980896,0.9870639335169632,0.7563318710074657,0.3,1930,579,16002,0.0933786078098472,589,150,4481
3,up,0.3,0.3904734253883362,0.9755101204774407,0.8006665116639542,0.30004380201489267,2283,702,16002,0.11953727506426735,778,180,4481
4,down,0.3,-0.059517085552215576,0.9869337861161891,0.7738665139543831,0.30009775171065495,2046,616,17403,0.1342925659472422,417,113,3080
4,up,0.3,0.3045268654823303,0.9796985074215376,0.822573533900547,0.30004144218814754,2413,731,17403,0.15481832543443919,633,151,3080
