n_decile,n_cells,n_total_median,rho_model_cal,rho_null
0,2233,35.0,0.5172702265944848,0.042009044450313344
1,2046,46.0,0.4836627735268492,0.0007000394910291756
2,1954,60.0,0.49784771840321074,-0.026139327337381734
3,1964,78.0,0.5375215368428423,0.0016001636987374307
4,2110,98.0,0.5495437836979411,0.061755051206339506
5,2031,121.0,0.5636249632385315,-0.003717283906433816
6,2045,151.0,0.5373768933050138,0.022766986060232697
7,2023,196.0,0.5185984863819446,-0.017159263644817763
8,2047,282.0,0.5252303798107021,-0.0025377544075028836
9,2030,483.0,0.47527966781246234,0.014704043002037816
